"pos_05_Brarut_1.A.6_01_7401"	"pos_10_Brarut_1.B.3_01_7408"	"pos_15_Calcus_1.B.8_01_7415"	"pos_17_Calcus_1.C.2_01_7417"	"pos_01_Fistax_1.A.2_01_7396"	"pos_02_Fistax_1.A.3_01_7398"	"pos_04_Gripul_1.A.5_01_7400"	"pos_23_Gripul_1.C.8_01_7425"	"pos_09_Hypcup_1.B.2_01_7407"	"pos_21_Hypcup_1.C.6_01_7421"	"pos_25_Marpol_1.D.2_01_7427"	"pos_26_Marpol_1.D.3_01_7428"	"pos_12_Plaund_1.B.5_01_7410"	"pos_13_Plaund_1.B.6_01_7411"	"pos_06_Polstr_1.A.7_01_7402"	"pos_07_Polstr_1.A.8_01_7403"
8.964507	9.259323	9.725568	7.934456	8.844685	9.832286	8.954579	9.759474	9.651216	8.805617	8.637954	8.426587	8.865246	8.644247	8.879707	9.668088
6.579715	7.459247	7.336055	7.67149	7.260972	7.165195	6.575748	7.193454	7.171657	7.101871	7.89017	7.766302	6.989452	7.078754	8.737343	7.195121
0	0	0	0	6.701462	8.202743	5.798947	0	8.315427	7.756585	7.852425	0	0	7.491213	8.268807	8.512351
9.609561	9.593658	0	0	0	0	9.274933	0	0	0	0	0	0	0	0	0
10.88346	9.755607	10.298078	10.194077	9.727666	10.071735	10.833596	10.981917	10.564151	11.036558	10.498372	10.791768	10.939581	10.472095	9.949182	11.130637
0	0	8.906635	8.26397	0	0	0	0	0	0	0	0	0	0	0	0
8.248407	7.657978	8.253746	7.582755	8.282722	8.13675	7.181933	8.216742	7.313636	7.626874	8.910061	7.974168	8.032285	8.019852	7.993951	8.044865
8.314434	8.409376	8.636081	8.301601	8.102448	8.027038	8.406603	8.295245	8.452727	9.216039	8.29841	8.383444	7.904097	8.159595	7.970923	7.763791
8.523961	8.60846	7.18081	7.439711	6.973918	7.869006	7.444298	7.435112	7.303025	8.064376	6.572819	0	7.15474	7.151977	7.750876	7.748212
0	0	0	0	0	0	0	0	0	0	0	0	7.559189	7.348588	0	0
